module name,license,repository,modified
http-browserify@1.7.0,MIT*,https://github.com/substack/http-browserify,no
http-signature@1.1.1,MIT,https://github.com/joyent/node-http-signature,no
http-signature@1.2.0,MIT,https://github.com/joyent/node-http-signature,no
https-browserify@0.0.1,MIT,https://github.com/substack/https-browserify,no
https-browserify@1.0.0,MIT,https://github.com/substack/https-browserify,no
ieee754@1.1.8,BSD-3-Clause,https://github.com/feross/ieee754,no
import-regex@1.1.0,MIT,https://github.com/kevva/import-regex,no
in-publish@2.0.0,ISC,https://github.com/iarna/in-publish,no
indent-string@2.1.0,MIT,https://github.com/sindresorhus/indent-string,no
indexof@0.0.1,MIT*,,no
inflight@1.0.6,ISC,https://github.com/npm/inflight,no
inherits@1.0.2,ISC*,https://github.com/isaacs/inherits,no
inherits@2.0.1,ISC,https://github.com/isaacs/inherits,no
inherits@2.0.3,ISC,https://github.com/isaacs/inherits,no
ini@1.3.4,ISC,https://github.com/isaacs/ini,no
ini@1.3.5,ISC,https://github.com/isaacs/ini,no
inline-source-map@0.3.1,MIT,https://github.com/thlorenz/inline-source-map,no
inline-source-map@0.5.0,MIT,https://github.com/thlorenz/inline-source-map,no
inline-source-map@0.6.2,MIT,https://github.com/thlorenz/inline-source-map,no
insert-module-globals@6.6.3,MIT,https://github.com/substack/insert-module-globals,no
insert-module-globals@7.0.1,MIT,https://github.com/substack/insert-module-globals,no
interpret@1.1.0,MIT,https://github.com/tkellen/node-interpret,no
invert-kv@1.0.0,MIT,https://github.com/sindresorhus/invert-kv,no
ip-regex@1.0.3,MIT,https://github.com/sindresorhus/ip-regex,no
irregular-plurals@1.4.0,MIT,https://github.com/sindresorhus/irregular-plurals,no
is-absolute@1.0.0,MIT,https://github.com/jonschlinkert/is-absolute,no
is-accessor-descriptor@0.1.6,MIT,https://github.com/jonschlinkert/is-accessor-descriptor,no
is-accessor-descriptor@1.0.0,MIT,https://github.com/jonschlinkert/is-accessor-descriptor,no
is-arrayish@0.2.1,MIT,https://github.com/qix-/node-is-arrayish,no
is-binary-path@1.0.1,MIT,https://github.com/sindresorhus/is-binary-path,no
is-buffer@1.1.6,MIT,https://github.com/feross/is-buffer,no
is-builtin-module@1.0.0,MIT,https://github.com/sindresorhus/is-builtin-module,no
is-data-descriptor@0.1.4,MIT,https://github.com/jonschlinkert/is-data-descriptor,no
is-data-descriptor@1.0.0,MIT,https://github.com/jonschlinkert/is-data-descriptor,no
is-descriptor@0.1.6,MIT,https://github.com/jonschlinkert/is-descriptor,no
is-descriptor@1.0.2,MIT,https://github.com/jonschlinkert/is-descriptor,no
is-dotfile@1.0.3,MIT,https://github.com/jonschlinkert/is-dotfile,no
is-equal-shallow@0.1.3,MIT,https://github.com/jonschlinkert/is-equal-shallow,no
is-extendable@0.1.1,MIT,https://github.com/jonschlinkert/is-extendable,no
is-extendable@1.0.1,MIT,https://github.com/jonschlinkert/is-extendable,no
is-extglob@1.0.0,MIT,https://github.com/jonschlinkert/is-extglob,no
is-extglob@2.1.1,MIT,https://github.com/jonschlinkert/is-extglob,no
is-finite@1.0.2,MIT,https://github.com/sindresorhus/is-finite,no
is-fullwidth-code-point@1.0.0,MIT,https://github.com/sindresorhus/is-fullwidth-code-point,no
is-glob@2.0.1,MIT,https://github.com/jonschlinkert/is-glob,no
is-glob@3.1.0,MIT,https://github.com/jonschlinkert/is-glob,no
is-number@2.1.0,MIT,https://github.com/jonschlinkert/is-number,no
is-number@3.0.0,MIT,https://github.com/jonschlinkert/is-number,no
is-odd@1.0.0,MIT,https://github.com/jonschlinkert/is-odd,no
is-plain-object@2.0.4,MIT,https://github.com/jonschlinkert/is-plain-object,no
is-posix-bracket@0.1.1,MIT,https://github.com/jonschlinkert/is-posix-bracket,no
is-primitive@2.0.0,MIT,https://github.com/jonschlinkert/is-primitive,no
is-relative@1.0.0,MIT,https://github.com/jonschlinkert/is-relative,no
is-typedarray@1.0.0,MIT,https://github.com/hughsk/is-typedarray,no
is-unc-path@1.0.0,MIT,https://github.com/jonschlinkert/is-unc-path,no
is-utf8@0.2.1,MIT,https://github.com/wayfind/is-utf8,no
is-windows@1.0.1,MIT,https://github.com/jonschlinkert/is-windows,no
