"module name","licenses","repository","licenseUrl","parents"
"ansi-gray@0.1.1","MIT","https://github.com/jonschlinkert/ansi-gray","https://github.com/jonschlinkert/ansi-gray/raw/master/LICENSE","jquery-ui-form-builder"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex","https://github.com/chalk/ansi-regex/raw/master/license","jquery-ui-form-builder"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles","https://github.com/chalk/ansi-styles/raw/master/license","jquery-ui-form-builder"
"ansi-wrap@0.1.0","MIT","https://github.com/jonschlinkert/ansi-wrap","https://github.com/jonschlinkert/ansi-wrap/blob/master/LICENSE","jquery-ui-form-builder"
"ansicolors@0.2.1","MIT","https://github.com/thlorenz/ansicolors","https://github.com/thlorenz/ansicolors/raw/master/LICENSE","jquery-ui-form-builder"
"anymatch@1.3.2","ISC","https://github.com/es128/anymatch","https://github.com/es128/anymatch/raw/master/LICENSE","jquery-ui-form-builder"
"aproba@1.1.1","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","fsevents:jquery-ui-form-builder"
"aproba@1.2.0","ISC","https://github.com/iarna/aproba","https://github.com/iarna/aproba/raw/master/LICENSE","jquery-ui-form-builder"
"archy@1.0.0","MIT","https://github.com/substack/node-archy","https://github.com/substack/node-archy/raw/master/LICENSE","jquery-ui-form-builder"
"are-we-there-yet@1.1.4","ISC","https://github.com/iarna/are-we-there-yet","https://github.com/iarna/are-we-there-yet/raw/master/LICENSE","jquery-ui-form-builder"
"argparse@0.1.16","MIT","https://github.com/nodeca/argparse","https://github.com/nodeca/argparse/raw/master/LICENSE","jquery-ui-form-builder"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","anymatch:jquery-ui-form-builder"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff","https://github.com/jonschlinkert/arr-diff/raw/master/LICENSE","jquery-ui-form-builder"
